ActionType,ActionTS,C_ID,C_TAX_ID,C_GNDR,C_TIER,C_DOB,C_L_NAME,C_F_NAME,C_M_NAME,C_ADLINE1,C_ADLINE2,C_ZIPCODE,C_CITY,C_STATE_PROV,C_CTRY,C_EMAIL_1,C_EMAIL_2,C_CTRY_1,C_AREA_1,C_LOCAL_1,C_EXT_1,C_CTRY_2,C_AREA_2,C_LOCAL_2,C_EXT_2,C_CTRY_3,C_AREA_3,C_LOCAL_3,C_EXT_3,C_LCL_TX_ID,C_NAT_TX_ID,CA_ID,CA_TAX_ST,CA_B_ID,CA_NAME
NEW,2007-07-11T16:14:42,10,030-52-1460,,3,1943-09-01,Gannon,Charene,,3388 Concord Crescent,,80072,Fairbanks,MA,Canada,Charene.Gannon@lavabit.com,Charene.Gannon@gmx.es,,,444-6160,,,,,,,,,,IA9,OH6,10,1,13353,XqXAwgQVDMSwCiOXSONPyAFlUFUujbAaB
NEW,2007-07-12T10:35:01,11,031-63-6387,F,3,1987-12-25,McCullogh,Lilli,,673 Edloe Park,,35259,Winnipeg,OK,United States of America,Lilli.McCullogh@kify.net,Lilli.McCullogh@gmx.ph,,408,066-3019,,,,186-6059,,,,116-4104,,ME2,NB4,11,1,11879,QfGNdiMERNAVFQPQFAKsKWelDhjLHhgQZBTssRZTss
NEW,2007-07-13T02:51:27,12,288-68-4492,,3,1965-11-02,French,Carolien,,10070 Glenview Boulevard,,V6C 1T6,Greensboro,AL,United States of America,Carolien.French@hushmail.com,Carolien.French@gmx.hk,1,513,456-0545,,,,878-0891,,,,,,NF2,IA1,12,1,864,ryheEMXIGKPPIHYJJnPiQwvrUqoQKH FdingOpVYtD
NEW,2007-07-13T06:05:39,13,570-67-1101,,2,1983-04-16,Limerick,Heidie,D,19412 Broad Lower,,20019,Irvine,NE,United States of America,Heidie.D.Limerick@privacyharbor.com,,,,965-9648,,,708,168-3038,,,,,,NJ1,ID8,13,2,6929,XcECvSAGJcgPvBbBtIZLUyELzKxAKNcfQasKlS
NEW,2007-07-13T08:21:39,14,311-17-1331,,3,2005-09-01,Doggett,Greg,F,10436 Ingersoll Upper,,B8A 1Z9,Richmond,IA,United States of America,Greg.F.Doggett@teancum.net,Greg.F.Doggett@hushmail.com,,835,439-8688,,,,210-2860,,,,,,MO7,YT4,14,2,451,dbsOWBJCsvjzrBJRTAQ PixQGHoxsDRmxIzNVQzHMOtH
NEW,2007-07-14T00:17:57,15,433-49-0015,m,3,2004-02-06,Kletchko,Fawn,,4410 Porter Road,,53739,Overland Park,UT,United States of America,Fawn.Kletchko@icqmail.com,Fawn.Kletchko@mail2world.com,,555,012-1845,,,,,,,,,,RI1,OR2,15,1,10426,
NEW,2007-07-14T06:56:41,16,810-93-4490,,2,1963-01-08,Bamfo,Gary,,14930 Griffin Upper,,H7H 1V5,Warren,OH,United States of America,Gary.Bamfo@doctor.com,Gary.Bamfo@teancum.net,1,617,293-5320,,,,091-2273,,,,,,ID5,NY1,16,1,13066,dFUR GKSWBLWWfLNkMNmgrMktKyLoVaniwoMT uCyoBuZd
NEW,2007-07-15T00:05:45,17,152-80-4665,f,2,2008-02-11,Litz,Judith,,6337 Tangle Brush Boulevard,,85087,Santa Clara,British Columbia,United States of America,Judith.Litz@moose-mail.com,Judith.Litz@privacyharbor.com,,,140-9778,,,,,,1,299,951-0226,,AB5,TX1,17,1,5309,RPAhHPxoqZNpNJdsQJwyTjIvKlcgShksFPya jSr JNoRm
NEW,2007-07-15T05:13:54,18,739-93-2338,F,2,1991-08-21,Boucouris,Maitilde,,18354 Dodd Court,,90042,Savannah,ID,United States of America,Maitilde.Boucouris@shtrudel.org,,,,237-9338,,,820,615-5831,,,,285-7926,,NU6,DE2,18,1,13715,vK FcKnxHFwIBGNHnEIxUYIvSGtzTnBxLIVKaGT
NEW,2007-07-15T12:25:10,19,102-46-5704,,3,1969-12-22,Paquette,Sukhendu,,19015 Chennault Lane,,M6S 1G8,North Las Vegas,ND,Canada,Sukhendu.Paquette@mac.hush.com,,,,102-2175,,1,884,125-7430,,,,,,MT4,NS8,19,2,1529,dPNTixFwTKLkqookrExDxkKJaEWjDgBCJAHOoVmKAZq
NEW,2007-07-15T14:36:45,20,325-88-3363,m,3,1994-03-24,Chambers,Millisent,,5620 Royalton Avenue,,94438,Simi Valley,ME,Canada,Millisent.Chambers@europe.com,Millisent.Chambers@london.com,,,058-9050,,,,570-7282,,,,282-9813,,ID7,ON6,20,2,946,UoqgHfiFWxFjERUeJbFXYoDuIBQ IKsjvy
NEW,2007-07-15T23:04:58,21,494-50-2485,,2,1928-11-19,Neely,Herman,,12683 La Cienega Street,,75026,New York,WI,Canada,Herman.Neely@buffaloes.com,,1,260,063-3734,,,,,,,,475-8062,,MO4,OH4,21,1,7878,YTNXhQsyxqppiEjJIWpGqNmCOLIKzpuxpGmgY
CLOSEACCT,2007-07-16T00:29:01,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
NEW,2007-07-16T11:34:26,22,552-68-0254,F,3,1999-08-21,Shaughnessy,Tybi,,13483 Rockdale Drive,,77288,St. Petersburg,UT,United States of America,Tybi.Shaughnessy@mailmaniacs.com,Tybi.Shaughnessy@bulldogs.com,,,820-9038,,,514,620-0435,,,,,,NY5,VA2,22,1,10750,YDEyaZXtZdBBYQCMJzwVAhaajrhGkptPFpaJ E
NEW,2007-07-16T23:01:18,23,897-08-0106,f,3,1928-11-06,Td,Wee-Seng,E,10534 Milam North,,85269,Scottsdale,ID,United States of America,Wee-Seng.E.Td@gmx.it,,,,734-5085,,,389,413-1876,,,,,,OK2,NV1,23,2,6759,Wm QNCxkoKnK FyPNRJXzbHSdwITMEEPbaSTGuaT
UPDCUST,2007-07-17T03:58:34,0,,,,,,,,,,,Augusta,British Columbia,United States of America,Adara.Joannis@gmail.com,,,357,423-9191,,,270,141-3475,,,421,277-2023,59348,,,,,,
NEW,2007-07-17T06:40:46,24,169-38-0959,,3,1979-10-18,Raaflaub,Dayle,,20900 Marchmont West,,93903,Mobile,SC,United States of America,Dayle.Raaflaub@quake0.de,Dayle.Raaflaub@kify.net,,,372-7559,,,,258-1009,29695,,,,,SK1,MA1,24,1,12626,mWCuERgFCBaisZUMGiIzrNLnNiSIsbEoCPa
NEW,2007-07-17T15:40:43,25,297-52-3134,,,1924-12-13,Haveman,Dutch,E,23755 Frostwood Lower,,M9D 1S6,Fort Worth,MA,Canada,Dutch.E.Haveman@london.com,,,484,971-0012,,,436,063-1914,,,,,,BC7,NM3,25,1,7932,PLhJJUBrQnMMMKzYqBhVFzMswJtRCMamtLVd
UPDCUST,2007-07-17T18:06:46,9,,,3,,,,,15520 Ledgestone Upper,,55114,Virginia Beach,,,Sarah.P.Nadolny@gmx.co.uk,,,,631-1254,,,374,055-0781,,1,661,202-5717,40964,,,,,,
NEW,2007-07-18T03:03:36,26,543-01-4796,f,,2011-09-11,Feist,Hal,,22650 Marathon West,,H5L 1R9,Mount Pearl,ID,United States of America,Hal.Feist@whale-mail.com,Hal.Feist@webmail.co.za,,,429-2461,,1,313,077-6139,,,,,,CA5,GA5,26,2,10887,EzgfFQPBOTtPlPOtQxNmcKIKIGsIVRAAkCdQxIUVUNFTQMj
NEW,2007-07-18T05:47:51,27,375-10-2999,d,2,1977-04-06,PKDCD,Jean-Pierre,,7458 Denton Boulevard,,V6J 1S6,San Bernardino,NM,Canada,Jean-Pierre.PKDCD@vfemail.net,,,975,723-4098,,,,,,,,,,HI7,DE5,27,2,1621,DuPCPkSFIIRMCXGbuHPDxUARJSMdOL
UPDCUST,2007-07-18T08:34:36,18,,,,,,,,19282 Holly Upper,,23502,Austin,MS,United States of America,Maitilde.Boucouris@gmx.sg,,,442,224-0086,,1,352,877-6376,,,,,,,,,,,
UPDACCT,2007-07-18T16:23:57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,12449,UZeOAZFkVLejBFqQrHMtfPRDLJuCVhhTzxjWYMjABLSYUMw
NEW,2007-07-18T16:31:39,28,370-77-4846,,3,1984-12-31,Guin,Prity,K,17491 Roswell South,,H2B 1X8,Honolulu,AR,Canada,Prity.K.Guin@gmx.it,Prity.K.Guin@aussiemail.com.au,,,882-2241,,,707,384-6361,,,,,,OH8,MO4,28,1,4159,bJeiOxonRAUhXPEjqIYQmpvFawtHiFqRVDlapzT
INACT,2007-07-18T22:54:01,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPDACCT,2007-07-19T10:34:37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6701,goVPhIAoxWXedLPYAOKFXzREOFiLSmNpYzCppjnJG Y
NEW,2007-07-19T11:52:46,29,439-09-4448,m,,2009-06-01,Schlange,Dulce,,3375 Sakowitz Lane,,80125,Bakersfield,HI,United States of America,Dulce.Schlange@bulldogs.com,,,,174-3162,,,,,,,,,,QC2,OH9,29,1,13575, FGGHbNPAHEGKCrFZVqmtSkNFjUpBXPw B
NEW,2007-07-19T12:48:01,30,395-46-8851,,3,1975-10-30,Costello,Pascal,W,10666 Travis West,Apt. 37,M5E 1Y5,Fairbanks,UT,United States of America,Pascal.W.Costello@doctor.com,,,203,072-4449,,,,947-6116,,,,,,NH1,PE6,30,1,14796,Ymleq FXgEZrKymKbRzvJsBYnuAiwHGoAMzgEHl
UPDACCT,2007-07-19T21:51:23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,14738,kMzYJLSRqxwOLgOvD fbPPUAGQczRiR zjRXJWoiE
ADDACCT,2007-07-20T06:36:07,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,14632, SBujiXiyqeLDdQHxlCabFTplbrYwXcMRNAbKfeJYDpFQzO
ADDACCT,2007-07-20T15:51:18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,10852,CPTFoFIxlHyLKIKhqOWnzmXAHuciUIjVsCWg
UPDACCT,2007-07-20T21:05:21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,IEoyhhTAxtLiePsvCZRcQANGtJJzqhcPDUVNGoCktH
ADDACCT,2007-07-21T04:34:15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,5306,qWsHyIzXDNMwuXyBOMYRsItUKxQRfo
ADDACCT,2007-07-21T12:17:24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,837,BMBdEiGwcTCOKyGCDPRLyvF ZEpnTdMArDl
UPDACCT,2007-07-21T16:03:01,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,
ADDACCT,2007-07-21T16:28:29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1,8864,nDFyJJlVxQrNWgSrMoEFAJisakJiTStcLwIsiIWRCNLyguBC
ADDACCT,2007-07-21T21:06:39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,10794,TVjvitbkefoHFTCJhQKnCMQgtLGOISC
UPDACCT,2007-07-22T07:28:40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,5582,EqrNAZwRAQDUbukhZKaEGSXjHHvsJSCWeWRxVfaQB
ADDACCT,2007-07-22T14:09:27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,13827,KCCHaFWqkLzhMHMxGcpBHBJbtYZMtFNHGAPjFHA
ADDACCT,2007-07-22T17:32:54,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,901,JhZIaqwByxfXoNZ GYmOzBQkMKuMyTQt yEhinvVsMiEiQO
CLOSEACCT,2007-07-22T19:10:04,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
ADDACCT,2007-07-23T02:13:47,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1,8980,EEMyickTOoaINqpiFMmWcTAJAhCxEVmveVRyVhOTYOb
ADDACCT,2007-07-23T13:52:39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,4292,aUpPpHR buMzXGiBfwCRgTgokQAZqF
CLOSEACCT,2007-07-24T00:50:20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
CLOSEACCT,2007-07-24T09:26:47,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
NEW,2007-07-24T10:25:05,31,616-10-0936,,3,1954-09-05,Devreeze,Reggie,Q,11469 Fairmount Boulevard,,47732,Ontario,DE,United States of America,Reggie.Q.Devreeze@SaveWildlife.com,Reggie.Q.Devreeze@gmx.com,,,344-2499,70552,1,850,983-8425,,,,,,ON10,OR3,41,1,10092,KzvPHQJMESGcfQPvwQEnmbtUOmnUFMjzVfAwkC
UPDACCT,2007-07-24T18:44:38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,BvmSqtEwCIpFhIJOtrFVVCHjETiMXwEDsItOGEKuwHUgtj
NEW,2007-07-25T01:28:32,32,619-45-5315,m,3,1975-09-28,Waines,Virgil,,13352 Beauregard Lower,,T5A 1Z8,Erie,DE,Canada,Virgil.Waines@soodonims.com,Virgil.Waines@deadaddress.com,,,535-1381,85490,1,475,210-9536,,,,,,OH1,GA2,42,1,13851,hhjROUKtvfMKkNCaYNyeVGPxFsIWfTFeNlfDXBXpzQAPTSs
UPDACCT,2007-07-25T10:30:24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1,7311,telBcGRbVh HdhZqsRZ kdFCvTzoEqvTgyQOGIuBWt
NEW,2007-07-25T10:31:25,33,974-85-7540,,3,1963-01-02,Neil,Gib,,8074 Euclid Way,,80175,Montreal,RI,United States of America,Gib.Neil@gmx.ph,,1,662,629-0161,,,,,,,,,,PA1,PE5,43,1,5183,MHdCcBGaXASXcLzDMXG rklPVcVoR R
NEW,2007-07-25T12:45:37,34,793-31-5301,M,3,1977-01-07,Toone,Anthiathia,,15621 Yaupon Lower,,83732,Fullerton,DE,United States of America,Anthiathia.Toone@mailvault.com,Anthiathia.Toone@gmx.fr,,627,016-3739,,,,,,,,373-5393,,NT7,SK1,44,1,3607,VLRxwKJyvLGXXTbVNHFTQFRQhTqRIgluTWDJmCCU BG
UPDCUST,2007-07-25T21:33:21,25,,,,,,,,22014 Rose Park,,,Moncton,British Columbia,United States of America,Dutch.E.Haveman@mail.be,Dutch.E.Haveman@shtrudel.biz,,,,,,,919-2085,,,,,,,,,,,
NEW,2007-07-26T06:08:33,35,702-90-4887,,3,1970-10-01,Blanchet,Sibyl,,19604 Hawkins Park,,90820,Salinas,AL,United States of America,Sibyl.Blanchet@snail-mail.net,Sibyl.Blanchet@mail2world.com,,257,833-3558,,,,,,,,,,ND6,SC6,45,1,10378,cLMxDUmySdTeMxoybQpqXEcMAETazlKXxQKVDpXSTSGJe
CLOSEACCT,2007-07-26T12:53:53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
NEW,2007-07-26T21:55:40,36,799-62-0464,,3,2010-05-10,Malaher,Bal,,5935 McAfee Park,,43644,Waterbury,NC,United States of America,Bal.Malaher@gmx.com,Bal.Malaher@mailmaniacs.com,,,281-6213,,,854,262-9891,,,,,,NM1,WV4,46,2,4565,wxRqwKRgVQiBJloZvQHUIdzWr SMNr
UPDACCT,2007-07-27T01:00:03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,,hUFRHGwKYPyPYmKONDqWRcEPBvEjEhvTePKUnckak
NEW,2007-07-27T05:51:28,37,639-29-5926,,,1931-03-12,Riddall,Clarke,,8887 Holly Knoll Court,,19032,Jacksonville,IN,United States of America,Clarke.Riddall@gmx.pt,Clarke.Riddall@peacemail.com,,564,655-4295,,,,986-4903,,,,,,IA9,NJ2,47,1,10211,VGlcKMDScVfecRiUkyhqwEcMIsIuFPXrxeVCWAnvrFKSTFd
NEW,2007-07-27T10:52:29,38,594-93-9012,,3,2009-06-18,Campeau,Beth,,14553 Round Lake Boulevard,,H2B 1X7,Jersey City,FL,United States of America,Beth.Campeau@shtrudel.com,,,,648-0664,,,751,933-7212,,,,,,NJ6,US4,48,1,8198,CcSeGGRMIABynsFCxXwCNIsdFsKdpagsuTDV PXQUJ
NEW,2007-07-27T19:14:09,39,852-68-0058,,3,1943-08-23,Wolter,Enzo,J,2055 Evans East,,81003,Bellevue,IN,United States of America,Enzo.J.Wolter@wildmail.com,,,537,867-0319,,,,,,,,,,CN1,AZ1,49,0,13541,MTFZtfVwtSJVLweBjlFtSSCMvQrWXQKPSyokLpTLjgyVYInXp
NEW,2007-07-27T19:19:00,40,907-99-3329,F,3,1942-05-17,Naismith,Evy,,19730 Burgoyne Lane,,96803,Livonia,DE,Canada,Evy.Naismith@RespectAnimals.com,Evy.Naismith@bulldogs.com,,,139-2666,,,650,743-6766,,,,,,HI2,YT5,50,1,35,CddrEzyNqVTYgyIJxQmJlUjsLVBlcIGaOPC GPT NI
UPDCUST,2007-07-28T03:55:53,17,,,1,,,,,20644 Birchwood Way,,60653,Las Vegas,Ontario,Canada,Judith.Litz@mail.com,,,,320-5695,,,,,,,,512-0005,19020,,,,,,
NEW,2007-07-28T12:04:09,41,619-45-3730,,,1950-01-10,Milburn,Jania,,4032 Erie Court,,35211,Baton Rouge,Saskatchewan,United States of America,Jania.Milburn@gmx.sg,Jania.Milburn@myway.com,,,800-0693,33747,,,,,,,,,NJ5,MI1,51,1,7250,NCdDAXkGQyNCnbQLFwjbSkXMOUSWXmeXVBLhDfBAluWacplW
CLOSEACCT,2007-07-28T20:21:45,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
ADDACCT,2007-07-29T04:46:20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2,10293,ypxbeTuQuQiVictLYRZbMTtIBkMMdzMm
UPDACCT,2007-07-29T13:11:27,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1492,
ADDACCT,2007-07-29T17:13:58,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,1,7045,cw FvaJrEuDVoQqcpAERdTTXkAxJBVgOoKCLVJ
ADDACCT,2007-07-29T19:07:32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,14800,lERVjoTNspStUfwhiDOJaziFdDNCKiqMEVjaQSjFhkquKEnDg
ADDACCT,2007-07-30T01:14:23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2,4262,HsXHDFGrkDqTgyeYszwCVYMrXoYEnoWVCaOulLONrzg
ADDACCT,2007-07-30T09:40:00,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,1,8406,xYxGwrwFUCbkbklvCobJQdCxIhABaWE
UPDCUST,2007-07-30T14:40:41,18,,,,,,,,850 Leon Lower,,36625,Lexington,Alberta,United States of America,Maitilde.Boucouris@mail2world.com,,1,699,735-2564,,1,969,877-6376,,,,,,,,,,,
ADDACCT,2007-07-30T21:49:58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1,14799,nxVGrBTKnSXnfDaBzprwKhLEOmiqgLIRZhOUpHAn
UPDACCT,2007-07-31T05:58:43,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,,UlUTvXfTTVkzBwJrCTPHEPjZppXxNww dSkTmH
ADDACCT,2007-07-31T12:28:52,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,2,5691,dXeLwDFfCJODQBGSOkbAvbNSjCcDDSNwxhSowxqHQbsNEF
UPDACCT,2007-07-31T12:38:35,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,,LyEwXnQdKBMqqI KdDxKdBXAAHGpVZud
ADDACCT,2007-07-31T17:25:54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,1055,yLhKarEnPCEBCbKBQbGqGzEtlVtLDPLRjnVdLjZTqqHxU
ADDACCT,2007-08-01T02:26:55,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,5115,CoTmHXYextqCVRGJeHXhLSoerwFB GGnX
INACT,2007-08-01T09:52:02,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDACCT,2007-08-01T13:15:31,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,10505,cogKZakIjhkNuINtA OKuBMkpOJeBNJDjtzQNvVqyKfViSKBf
NEW,2007-08-01T21:08:39,42,937-11-3915,,3,2012-06-21,Ciccarelli,Lex,L,21448 Hampton Boulevard,,78416,Shreveport,DC,United States of America,Lex.L.Ciccarelli@gmx.es,Lex.L.Ciccarelli@wildmail.com,,,753-9347,34682,,,026-8451,,,937,915-1271,,BC6,MN2,62,1,9515,KYEcEVWLOeEAtVxzJzGNlNAUWVEKUgFHCpOfHZRhakFISIluV
UPDACCT,2007-08-02T02:46:50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1,9730,KpdAmQZUOZIeIPeJiBAfWDvpNVFKIEjrslyRUGPKDkeAy
NEW,2007-08-02T06:03:03,43,683-80-1349,,2,1926-04-01,Goricanec,Blondell,,8104 Barberry Lane,,75046,Reno,DC,Canada,Blondell.Goricanec@gmx.hk,Blondell.Goricanec@kify.net,,,264-6126,,1,540,315-4608,,,,,,BC10,MO10,63,1,3989,A jtHgMeMFaPXvqkUwanjnZqtUTtCjcTZqMHSmpl f
UPDACCT,2007-08-02T13:43:53,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1,,PQdNUcVMzwDnAuGNmDHVNnEQWVFREtaQYSQUJukI
NEW,2007-08-02T17:54:05,44,258-30-9087,M,1,1946-05-04,Hurtubise,Malena,,2637 Payne Lower,,35893,Lowell,ND,United States of America,Malena.Hurtubise@buffaloes.com,,1,226,844-7382,,,,,,,,828-4339,,MO5,PA1,64,1,199,EqcRPKEHakIrKGbpIFidcsrVLoJCwAkO
NEW,2007-08-03T05:04:43,45,287-83-0393,,2,1985-06-20,Shoaf,Gale,,2328 Gracie Avenue,,95149,Tempe,Prince Edward Island,United States of America,Gale.Shoaf@gmx.co.uk,Gale.Shoaf@gmx.es,,,425-5305,,,640,001-8354,00516,,,,,YT7,NB4,65,1,38,GVFbyZzhLdqkEjpJiNwGEeOBnKPqjWJAMYne
INACT,2007-08-03T07:33:02,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW,2007-08-03T12:12:47,46,066-72-9438,,1,1951-01-20,McDunn,Lizette,,10093 McKinnon North,,E7O 1Q4,Lincoln,Ontario,Canada,Lizette.McDunn@lawyer.com,,,,249-6947,18992,,945,556-1649,,,,061-1932,,CA3,NH1,66,0,14417,QUelcJYCuBaTdAsRQMGkFBKSRUhorkByXJf
CLOSEACCT,2007-08-03T18:14:18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
NEW,2007-08-03T19:35:42,47,210-42-9519,,2,1986-08-19,KleynenbergNTACFB,Do,C,20901 Ashley North,,76144,West Covina,British Columbia,United States of America,Do.C.KleynenbergNTACFB@icqmail.com,Do.C.KleynenbergNTACFB@mailmaniacs.com,,,543-1529,,,218,556-8809,,,,,,BC3,YT6,67,1,8864,GMdcpHlRWAKhJBAOEEMNKQkTdKNJZM
UPDACCT,2007-08-03T21:19:45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,2761,ZMxMENneoOAfOFOvJEsusiJtRTSLkTwFigB
